version,tstamp,name,mean,stddev,median,user,system,min,max,recs_per_sec
0.120.0,2024-01-02-08,apply_calcconv,1.4700364996666668,0.0033640512786235564,1.468725958,3.2835083333333333,0.18291099999999996,1.467524958,1.4738585830000002,680272
0.120.0,2024-01-02-08,apply_datefmt,1.538221472,0.0028433095077287536,1.539279708,4.2645756666666665,0.150822,1.535000791,1.540383917,650195
0.120.0,2024-01-02-08,apply_datefmt_multi,1.9027565003333333,0.007104352615824368,1.905413834,8.517005666666664,0.141424,1.8947065420000002,1.908149125,525486
0.120.0,2024-01-02-08,apply_dynfmt,1.759640028,0.002837435834796535,1.7600419999999999,6.632171,0.156051,1.7566230420000002,1.762255042,568182
0.120.0,2024-01-02-08,apply_emptyreplace,1.3467278056666665,0.0013092465577859405,1.346951834,2.109724,0.14004666666666665,1.345321,1.347910583,742390
0.120.0,2024-01-02-08,apply_op_eudex,1.3407160003333332,0.005135783352953315,1.337989709,1.691694,0.25927266666666665,1.33751825,1.346640042,745712
0.120.0,2024-01-02-08,apply_op_similarity,1.3533359999999999,0.00403312004487706,1.351862708,1.9332493333333332,0.17972,1.350246667,1.357898625,739098
0.120.0,2024-01-02-08,apply_op_string,1.3449042083333334,0.0029957693347614743,1.3433888330000001,2.1252219999999995,0.14365933333333333,1.342968875,1.348354917,743494
0.120.0,2024-01-02-08,behead,0.8858635136666667,0.0008372423547422507,0.8859655830000001,0.8305583333333333,0.036871999999999995,0.884979916,0.886645042,1128668
0.120.0,2024-01-02-08,behead_flexible,0.8868460273333335,0.0016570532052174122,0.8859437080000001,0.8308523333333332,0.03807033333333333,0.885835958,0.888758416,1127396
0.120.0,2024-01-02-08,cat_columns,2.850102972,0.0017136244247182206,2.850754791,2.718268333333333,0.07892199999999999,2.848159083,2.851395042,350877
0.120.0,2024-01-02-08,cat_rows,1.7700591526666667,0.0020650236786655222,1.770081,1.657701333333333,0.07635666666666666,1.767983292,1.772113166,564972
0.120.0,2024-01-02-08,cat_rows_flexible,1.7680749446666668,0.0006593372379218509,1.7677977500000002,1.6568073333333333,0.07611133333333332,1.767599459,1.7688276250000001,565611
0.120.0,2024-01-02-08,cat_rowskey,3.741843916666667,0.021402182966442754,3.731490708,3.595169333333333,0.07961933333333333,3.727587,3.766454042,267237
0.120.0,2024-01-02-08,count,0.47880126400000006,0.0021353187155822993,0.47781795800000004,0.43289599999999995,0.036596666666666666,0.47733475000000003,0.48125108400000005,2087683
0.120.0,2024-01-02-08,count_flexible,0.4767184723333333,0.00010398773294159505,0.47672291600000005,0.43213233333333334,0.034993666666666666,0.476612334,0.476820167,2096436
0.120.0,2024-01-02-08,count_index,0.004440055333333334,0.000045169788845347815,0.004428792,0.002818666666666666,0.0010106666666666667,0.004401583000000001,0.004489791,250000000
0.120.0,2024-01-02-08,count_width,0.47259138866666667,0.0006252058995437682,0.472770083,0.42805199999999993,0.03474833333333333,0.471896291,0.473107792,2114165
0.120.0,2024-01-02-08,count_width_index,0.470623722,0.00026774769086399864,0.47064333300000005,0.428898,0.039459999999999995,0.470346708,0.470881125,2123142
0.120.0,2024-01-02-08,dedup,1.4033301386666668,0.024063266841194853,1.392262833,3.2241896666666663,0.12058566666666666,1.386791708,1.430935875,712758
0.120.0,2024-01-02-08,dedup_sorted,1.0160003053333335,0.0007687424451963086,1.015943875,0.9389419999999999,0.10042699999999999,1.015261333,1.016795708,984252
0.120.0,2024-01-02-08,diff,2.989024041666667,0.013244570954035141,2.987264333,4.507458333333333,0.186756,2.976747292,3.0030605,334560
0.120.0,2024-01-02-08,enum,0.9196953610000002,0.0014784817421435823,0.9199623330000001,0.863215,0.03789633333333333,0.9181015830000001,0.9210221670000001,1086957
0.120.0,2024-01-02-08,excel,11.811264264000002,0.03380317092776405,11.79313275,11.701643333333331,0.727578,11.79039525,11.850264792,84667
0.120.0,2024-01-02-08,exclude,0.5913843750000001,0.0013876620567123017,0.592165417,0.5453696666666666,0.034253,0.589782208,0.5922055,1692047
0.120.0,2024-01-02-08,exclude_casei,0.6040192776666667,0.0008057514655874104,0.604449125,0.5578746666666666,0.03435766666666667,0.6030897500000001,0.604518958,1655629
0.120.0,2024-01-02-08,exclude_casei_index,0.600405125,0.000866281413387659,0.6002535,0.5592436666666666,0.038555,0.5996246660000001,0.601337209,1666667
0.120.0,2024-01-02-08,exclude_index,0.5875985140000001,0.0020796524924195617,0.588062167,0.5448876666666665,0.04015666666666667,0.5853261670000001,0.589407208,1700680
0.120.0,2024-01-02-08,exclude_multi,0.933671333,0.0025314497071671845,0.934726166,0.8829296666666666,0.03456633333333333,0.9307830410000001,0.935504792,1070664
0.120.0,2024-01-02-08,exclude_multi_casei,0.9907323886666668,0.0029139660055601856,0.9904296250000001,0.9364006666666667,0.036602666666666665,0.9879816250000001,0.9937859160000001,1009082
0.120.0,2024-01-02-08,exclude_multi_casei_index,0.9819003470000002,0.0008901217724149198,0.98190675,0.9397933333333333,0.038774333333333334,0.981007041,0.9827872500000001,1018330
0.120.0,2024-01-02-08,exclude_multi_index,0.9267299310000001,0.002546544122057946,0.9276514170000001,0.8839,0.039478,0.9238509170000001,0.928687459,1078749
0.120.0,2024-01-02-08,explode,1.607008917,0.020956566590919396,1.5952578339999999,1.5642096666666667,0.03993533333333333,1.59456475,1.631204167,622278
0.120.0,2024-01-02-08,extdedup,1.0274398196666665,0.006167446682616791,1.026795417,0.9469943333333334,0.07310799999999999,1.021619875,1.033904167,973710
